Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
     1	3.38241e-10	2.0015e-08	2.03532e-08
     2	3.28878e-10	2.0015e-08	2.03439e-08
     3	3.1922e-10	2.0015e-08	2.03342e-08
     4	3.09039e-10	2.0015e-08	2.0324e-08
     5	2.99388e-10	2.0015e-08	2.03144e-08
     6	2.89729e-10	2.0015e-08	2.03047e-08
     7	2.80087e-10	2.0015e-08	2.02951e-08
     8	2.69537e-10	2.0015e-08	2.02845e-08
     9	2.59937e-10	2.0015e-08	2.02749e-08
    10	2.50434e-10	2.0015e-08	2.02654e-08
    11	2.41066e-10	2.0015e-08	2.02561e-08
    12	2.74772e-10	2.0015e-08	2.02898e-08
    13	2.68131e-10	2.0015e-08	2.02831e-08
    14	2.14423e-10	2.0015e-08	2.02294e-08
    15	2.05827e-10	2.0015e-08	2.02208e-08
    16	1.97977e-10	2.0015e-08	2.0213e-08
    17	1.92401e-10	2.0015e-08	2.02074e-08
