Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
     1	3.75786e-10	2.0015e-08	2.03908e-08
     2	1.92173e-10	2.0015e-08	2.02072e-08
     3	1.97561e-10	2.0015e-08	2.02126e-08
     4	1.93442e-10	2.0015e-08	2.02084e-08
     5	2.67202e-10	2.0015e-08	2.02822e-08
     6	2.05314e-10	2.0015e-08	2.02203e-08
     7	3.51449e-10	2.0015e-08	2.03664e-08
     8	1.93229e-10	2.0015e-08	2.02082e-08
     9	1.95435e-10	2.0015e-08	2.02104e-08
    10	1.98979e-10	2.0015e-08	2.0214e-08
    11	1.97888e-10	2.0015e-08	2.02129e-08
    12	2.26372e-10	2.0015e-08	2.02414e-08
    13	2.32672e-10	2.0015e-08	2.02477e-08
    14	2.09249e-10	2.0015e-08	2.02242e-08
    15	2.09115e-10	2.0015e-08	2.02241e-08
    16	2.33508e-10	2.0015e-08	2.02485e-08
    17	3.90211e-10	2.0015e-08	2.04052e-08
    18	1.95795e-10	2.0015e-08	2.02108e-08
    19	2.08655e-10	2.0015e-08	2.02237e-08
    20	2.13914e-10	2.0015e-08	2.02289e-08
    21	1.94539e-10	2.0015e-08	2.02095e-08
    22	1.95199e-10	2.0015e-08	2.02102e-08
    23	2.07264e-10	2.0015e-08	2.02223e-08
    24	2.02069e-10	2.0015e-08	2.02171e-08
    25	2.57878e-10	2.0015e-08	2.02729e-08
    26	2.73539e-10	2.0015e-08	2.02885e-08
    27	2.03738e-10	2.0015e-08	2.02187e-08
    28	1.99263e-10	2.0015e-08	2.02143e-08
    29	1.95488e-10	2.0015e-08	2.02105e-08
    30	1.96972e-10	2.0015e-08	2.0212e-08
    31	1.97077e-10	2.0015e-08	2.02121e-08
    32	1.97204e-10	2.0015e-08	2.02122e-08
    33	2.49577e-10	2.0015e-08	2.02646e-08
    34	1.96278e-10	2.0015e-08	2.02113e-08
    35	2.05468e-10	2.0015e-08	2.02205e-08
    36	1.94436e-10	2.0015e-08	2.02094e-08
    37	2.00124e-10	2.0015e-08	2.02151e-08
    38	1.93783e-10	2.0015e-08	2.02088e-08
    39	2.01761e-10	2.0015e-08	2.02168e-08
    40	3.69359e-10	2.0015e-08	2.03844e-08
    41	2.12721e-10	2.0015e-08	2.02277e-08
    42	2.19558e-10	2.0015e-08	2.02346e-08
    43	2.7764e-10	2.0015e-08	2.02926e-08
    44	2.05901e-10	2.0015e-08	2.02209e-08
    45	1.96888e-10	2.0015e-08	2.02119e-08
    46	2.22463e-10	2.0015e-08	2.02375e-08
    47	2.01205e-10	2.0015e-08	2.02162e-08
    48	3.11999e-10	2.0015e-08	2.0327e-08
    49	1.95516e-10	2.0015e-08	2.02105e-08
    50	2.07999e-10	2.0015e-08	2.0223e-08
    51	2.04059e-10	2.0015e-08	2.02191e-08
