Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
     1	-4.46115e-14	1.8e-08	3.3e-08
     2	-1.08284e-13	1.8e-08	3.3e-08
     3	-1.53465e-13	1.8e-08	3.3e-08
     4	-1.28767e-13	1.8e-08	3.3e-08
     5	-4.77239e-14	1.8e-08	3.3e-08
     6	-1.82222e-13	1.8e-08	3.3e-08
     7	-4.18595e-14	1.8e-08	3.3e-08
     8	-1.13586e-13	1.8e-08	3.3e-08
     9	-8.6898e-14	1.8e-08	3.3e-08
    10	-1.48093e-13	1.8e-08	3.3e-08
    11	-1.62259e-13	1.8e-08	3.3e-08
    12	-1.03095e-13	1.8e-08	3.3e-08
    13	-1.69216e-13	1.8e-08	3.3e-08
    14	-1.92366e-13	1.8e-08	3.3e-08
    15	-6.38248e-14	1.8e-08	3.3e-08
    16	-7.6913e-14	1.8e-08	3.3e-08
    17	-5.36909e-14	1.8e-08	3.3e-08
    18	-1.13614e-13	1.8e-08	3.3e-08
    19	-9.1052e-14	1.8e-08	3.3e-08
    20	-1.02114e-13	1.8e-08	3.3e-08
    21	-1.08928e-13	1.8e-08	3.3e-08
    22	-1.04523e-13	1.8e-08	3.3e-08
    23	-9.37119e-14	1.8e-08	3.3e-08
    24	-1.35716e-13	1.8e-08	3.3e-08
    25	-1.01809e-13	1.8e-08	3.3e-08
    26	-6.52464e-14	1.8e-08	3.3e-08
    27	-1.25361e-13	1.8e-08	3.3e-08
    28	-1.78032e-13	1.8e-08	3.3e-08
    29	-1.49635e-13	1.8e-08	3.3e-08
    30	-1.47472e-13	1.8e-08	3.3e-08
    31	-1.31596e-13	1.8e-08	3.3e-08
    32	-1.29912e-13	1.8e-08	3.3e-08
    33	-5.04889e-14	1.8e-08	3.3e-08
    34	-1.02711e-13	1.8e-08	3.3e-08
    35	-1.81227e-13	1.8e-08	3.3e-08
    36	-9.01134e-14	1.8e-08	3.3e-08
    37	-8.66064e-14	1.8e-08	3.3e-08
    38	-1.34604e-13	1.8e-08	3.3e-08
    39	-1.52098e-13	1.8e-08	3.3e-08
    40	-5.71243e-14	1.8e-08	3.3e-08
    41	-9.89872e-14	1.8e-08	3.3e-08
    42	-1.22948e-13	1.8e-08	3.3e-08
    43	-5.64211e-14	1.8e-08	3.3e-08
    44	-6.66368e-14	1.8e-08	3.3e-08
    45	-1.54599e-13	1.8e-08	3.3e-08
    46	-6.03247e-14	1.8e-08	3.3e-08
    47	-1.5341e-13	1.8e-08	3.3e-08
    48	-1.30878e-13	1.8e-08	3.3e-08
    49	-1.39555e-13	1.8e-08	3.3e-08
    50	-8.37173e-14	1.8e-08	3.3e-08
    51	-8.3649e-14	1.8e-08	3.3e-08
    52	-1.1991e-13	1.8e-08	3.3e-08
    53	-1.37037e-13	1.8e-08	3.3e-08
    54	-6.95533e-14	1.8e-08	3.3e-08
    55	-5.2745e-14	1.8e-08	3.3e-08
    56	-2.4869e-13	1.8e-08	3.3e-08
    57	-6.85619e-14	1.8e-08	3.3e-08
    58	-1.17476e-13	1.8e-08	3.3e-08
    59	-1.13671e-13	1.8e-08	3.3e-08
    60	-1.19917e-13	1.8e-08	3.3e-08
    61	-6.32695e-14	1.8e-08	3.3e-08
    62	-5.97854e-14	1.8e-08	3.3e-08
    63	-1.06352e-13	1.8e-08	3.3e-08
    64	-1.35786e-13	1.8e-08	3.3e-08
    65	-1.64204e-13	1.8e-08	3.3e-08
    66	-1.66402e-13	1.8e-08	3.3e-08
    67	-1.34138e-13	1.8e-08	3.3e-08
    68	-6.65271e-14	1.8e-08	3.3e-08
    69	-1.58283e-13	1.8e-08	3.3e-08
    70	-4.3614e-14	1.8e-08	3.3e-08
    71	-1.01799e-13	1.8e-08	3.3e-08
    72	-9.18177e-14	1.8e-08	3.3e-08
    73	-1.3378e-13	1.8e-08	3.3e-08
    74	-1.61754e-13	1.8e-08	3.3e-08
    75	-4.75044e-14	1.8e-08	3.3e-08
    76	-1.24414e-13	1.8e-08	3.3e-08
    77	-1.18019e-13	1.8e-08	3.3e-08
    78	-5.95603e-14	1.8e-08	3.3e-08
    79	-1.33786e-13	1.8e-08	3.3e-08
    80	-1.03266e-13	1.8e-08	3.3e-08
    81	-1.25356e-13	1.8e-08	3.3e-08
    82	-4.80075e-14	1.8e-08	3.3e-08
    83	-1.56191e-13	1.8e-08	3.3e-08
    84	-8.73229e-14	1.8e-08	3.3e-08
    85	-1.75112e-13	1.8e-08	3.3e-08
    86	-5.83247e-14	1.8e-08	3.3e-08
    87	-4.24305e-14	1.8e-08	3.3e-08
    88	-6.09427e-14	1.8e-08	3.3e-08
    89	-1.39201e-13	1.8e-08	3.3e-08
    90	-1.30382e-13	1.8e-08	3.3e-08
    91	-5.92085e-14	1.8e-08	3.3e-08
    92	-8.27531e-14	1.8e-08	3.3e-08
    93	-1.0278e-13	1.8e-08	3.3e-08
    94	-5.7022e-14	1.8e-08	3.3e-08
    95	-6.16046e-14	1.8e-08	3.3e-08
    96	-1.04405e-13	1.8e-08	3.3e-08
    97	-6.71602e-14	1.8e-08	3.3e-08
    98	-7.55141e-14	1.8e-08	3.3e-08
    99	-1.36382e-13	1.8e-08	3.3e-08
   100	-7.10504e-14	1.8e-08	3.3e-08
   101	-1.15261e-13	1.8e-08	3.3e-08
   102	-9.8444e-14	1.8e-08	3.3e-08
   103	-1.73572e-13	1.8e-08	3.3e-08
   104	-2.28457e-13	1.8e-08	3.3e-08
   105	-8.51044e-14	1.8e-08	3.3e-08
   106	-1.77841e-13	1.8e-08	3.3e-08
   107	-1.24744e-13	1.8e-08	3.3e-08
   108	-1.11866e-13	1.8e-08	3.3e-08
   109	-1.06928e-13	1.8e-08	3.3e-08
   110	-9.74168e-14	1.8e-08	3.3e-08
   111	-1.18278e-13	1.8e-08	3.3e-08
   112	-6.04723e-14	1.8e-08	3.3e-08
   113	-5.22442e-14	1.8e-08	3.3e-08
   114	-1.49321e-13	1.8e-08	3.3e-08
   115	-1.05116e-13	1.8e-08	3.3e-08
   116	-1.38003e-13	1.8e-08	3.3e-08
   117	-1.22555e-13	1.8e-08	3.3e-08
   118	-2.47871e-13	1.8e-08	3.3e-08
   119	-1.80191e-13	1.8e-08	3.3e-08
   120	-8.34964e-14	1.8e-08	3.3e-08
   121	-6.47498e-14	1.8e-08	3.3e-08
   122	-1.64177e-13	1.8e-08	3.3e-08
   123	-6.8283e-14	1.8e-08	3.3e-08
   124	-6.04038e-14	1.8e-08	3.3e-08
   125	-5.02263e-14	1.8e-08	3.3e-08
   126	-4.22391e-14	1.8e-08	3.3e-08
   127	-5.76403e-14	1.8e-08	3.3e-08
   128	-6.54301e-14	1.8e-08	3.3e-08
   129	-1.65237e-13	1.8e-08	3.3e-08
   130	-5.771e-14	1.8e-08	3.3e-08
   131	-1.71934e-13	1.8e-08	3.3e-08
   132	-6.42452e-14	1.8e-08	3.3e-08
   133	-1.54204e-13	1.8e-08	3.3e-08
   134	-1.24161e-13	1.8e-08	3.3e-08
   135	-1.16973e-13	1.8e-08	3.3e-08
   136	-9.28765e-14	1.8e-08	3.3e-08
   137	-1.09866e-13	1.8e-08	3.3e-08
   138	-9.43224e-14	1.8e-08	3.3e-08
   139	-1.05986e-13	1.8e-08	3.3e-08
   140	-4.34276e-14	1.8e-08	3.3e-08
   141	-1.65224e-13	1.8e-08	3.3e-08
   142	-8.03691e-14	1.8e-08	3.3e-08
   143	-8.32982e-14	1.8e-08	3.3e-08
   144	-1.39744e-13	1.8e-08	3.3e-08
   145	-5.65635e-14	1.8e-08	3.3e-08
   146	-7.9623e-14	1.8e-08	3.3e-08
   147	-6.06704e-14	1.8e-08	3.3e-08
   148	-1.45424e-13	1.8e-08	3.3e-08
   149	-4.27734e-14	1.8e-08	3.3e-08
   150	-5.26714e-14	1.8e-08	3.3e-08
   151	-1.37507e-13	1.8e-08	3.3e-08
   152	-1.20258e-13	1.8e-08	3.3e-08
   153	-5.80063e-14	1.8e-08	3.3e-08
   154	-1.3201e-13	1.8e-08	3.3e-08
   155	-7.75642e-14	1.8e-08	3.3e-08
   156	-5.1351e-14	1.8e-08	3.3e-08
   157	-5.85352e-14	1.8e-08	3.3e-08
   158	-8.85624e-14	1.8e-08	3.3e-08
   159	-8.04102e-14	1.8e-08	3.3e-08
   160	-1.27868e-13	1.8e-08	3.3e-08
   161	-1.5717e-13	1.8e-08	3.3e-08
   162	-4.72047e-14	1.8e-08	3.3e-08
   163	-4.45431e-14	1.8e-08	3.3e-08
   164	-8.86917e-14	1.8e-08	3.3e-08
   165	-1.59329e-13	1.8e-08	3.3e-08
   166	-1.42973e-13	1.8e-08	3.3e-08
   167	-1.14339e-13	1.8e-08	3.3e-08
   168	-4.04819e-14	1.8e-08	3.3e-08
   169	-1.39075e-13	1.8e-08	3.3e-08
   170	-1.33592e-13	1.8e-08	3.3e-08
   171	-1.11827e-13	1.8e-08	3.3e-08
   172	-6.87767e-14	1.8e-08	3.3e-08
   173	-1.6184e-13	1.8e-08	3.3e-08
   174	-1.1225e-13	1.8e-08	3.3e-08
   175	-1.55993e-13	1.8e-08	3.3e-08
   176	-5.56733e-14	1.8e-08	3.3e-08
   177	-7.34515e-14	1.8e-08	3.3e-08
   178	-6.38078e-14	1.8e-08	3.3e-08
   179	-1.22637e-13	1.8e-08	3.3e-08
   180	-7.18004e-14	1.8e-08	3.3e-08
   181	-8.60287e-14	1.8e-08	3.3e-08
   182	-5.88164e-14	1.8e-08	3.3e-08
   183	-5.05521e-14	1.8e-08	3.3e-08
   184	-4.14593e-14	1.8e-08	3.3e-08
   185	-8.33794e-14	1.8e-08	3.3e-08
   186	-1.26009e-13	1.8e-08	3.3e-08
   187	-1.03066e-13	1.8e-08	3.3e-08
   188	-6.52588e-14	1.8e-08	3.3e-08
   189	-5.07319e-14	1.8e-08	3.3e-08
   190	-1.63391e-13	1.8e-08	3.3e-08
   191	-1.23753e-13	1.8e-08	3.3e-08
   192	-1.66513e-13	1.8e-08	3.3e-08
   193	-8.69501e-14	1.8e-08	3.3e-08
   194	-8.27118e-14	1.8e-08	3.3e-08
   195	-1.80467e-13	1.8e-08	3.3e-08
   196	-1.31711e-13	1.8e-08	3.3e-08
   197	-4.41114e-14	1.8e-08	3.3e-08
   198	-1.44611e-13	1.8e-08	3.3e-08
   199	-9.59175e-14	1.8e-08	3.3e-08
   200	-1.26157e-13	1.8e-08	3.3e-08
   201	-5.65196e-14	1.8e-08	3.3e-08
   202	-8.76032e-14	1.8e-08	3.3e-08
   203	-7.57853e-14	1.8e-08	3.3e-08
   204	-1.83025e-13	1.8e-08	3.3e-08
   205	-1.42007e-13	1.8e-08	3.3e-08
   206	-1.25883e-13	1.8e-08	3.3e-08
   207	-1.03462e-13	1.8e-08	3.3e-08
   208	-6.5875e-14	1.8e-08	3.3e-08
   209	-1.28206e-13	1.8e-08	3.3e-08
   210	-1.49209e-13	1.8e-08	3.3e-08
   211	-1.2612e-13	1.8e-08	3.3e-08
   212	-9.70256e-14	1.8e-08	3.3e-08
   213	-1.95185e-13	1.8e-08	3.3e-08
   214	-1.43218e-13	1.8e-08	3.3e-08
   215	-1.49865e-13	1.8e-08	3.3e-08
   216	-9.23058e-14	1.8e-08	3.3e-08
   217	-1.32214e-13	1.8e-08	3.3e-08
   218	-7.15355e-14	1.8e-08	3.3e-08
   219	-8.23453e-14	1.8e-08	3.3e-08
   220	-9.63204e-14	1.8e-08	3.3e-08
   221	-4.10413e-14	1.8e-08	3.3e-08
   222	-1.53923e-13	1.8e-08	3.3e-08
   223	-1.1898e-13	1.8e-08	3.3e-08
   224	-1.75106e-13	1.8e-08	3.3e-08
   225	-1.69721e-13	1.8e-08	3.3e-08
   226	-1.61908e-13	1.8e-08	3.3e-08
   227	-2.3724e-13	1.8e-08	3.3e-08
   228	-5.36977e-14	1.8e-08	3.3e-08
   229	-1.12441e-13	1.8e-08	3.3e-08
   230	-1.21162e-13	1.8e-08	3.3e-08
   231	-1.8602e-13	1.8e-08	3.3e-08
   232	-7.69415e-14	1.8e-08	3.3e-08
   233	-1.99292e-13	1.8e-08	3.3e-08
   234	-4.82225e-14	1.8e-08	3.3e-08
   235	-1.46503e-13	1.8e-08	3.3e-08
   236	-9.38385e-14	1.8e-08	3.3e-08
   237	-1.39661e-13	1.8e-08	3.3e-08
   238	-1.75121e-13	1.8e-08	3.3e-08
   239	-9.83276e-14	1.8e-08	3.3e-08
   240	-7.53335e-14	1.8e-08	3.3e-08
   241	-1.18962e-13	1.8e-08	3.3e-08
   242	-1.76342e-13	1.8e-08	3.3e-08
   243	-1.73047e-13	1.8e-08	3.3e-08
   244	-8.2248e-14	1.8e-08	3.3e-08
   245	-4.91828e-14	1.8e-08	3.3e-08
   246	-4.99332e-14	1.8e-08	3.3e-08
   247	-8.08382e-14	1.8e-08	3.3e-08
   248	-1.80341e-13	1.8e-08	3.3e-08
   249	-2.08049e-13	1.8e-08	3.3e-08
   250	-6.39195e-14	1.8e-08	3.3e-08
   251	-2.03343e-13	1.8e-08	3.3e-08
   252	-1.72369e-13	1.8e-08	3.3e-08
   253	-7.06871e-14	1.8e-08	3.3e-08
   254	-1.54197e-13	1.8e-08	3.3e-08
   255	-5.60986e-14	1.8e-08	3.3e-08
   256	-1.63358e-13	1.8e-08	3.3e-08
   257	-1.05189e-13	1.8e-08	3.3e-08
   258	-1.63668e-13	1.8e-08	3.3e-08
   259	-6.40585e-14	1.8e-08	3.3e-08
   260	-1.76913e-13	1.8e-08	3.3e-08
   261	-1.40528e-13	1.8e-08	3.3e-08
   262	-8.34582e-14	1.8e-08	3.3e-08
   263	-5.12603e-14	1.8e-08	3.3e-08
   264	-6.17024e-14	1.8e-08	3.3e-08
   265	-9.32596e-14	1.8e-08	3.3e-08
   266	-5.62271e-14	1.8e-08	3.3e-08
   267	-1.12204e-13	1.8e-08	3.3e-08
   268	-1.14979e-13	1.8e-08	3.3e-08
   269	-6.96574e-14	1.8e-08	3.3e-08
   270	-4.67234e-14	1.8e-08	3.3e-08
   271	-8.32506e-14	1.8e-08	3.3e-08
   272	-6.0418e-14	1.8e-08	3.3e-08
   273	-6.49676e-14	1.8e-08	3.3e-08
   274	-9.50227e-14	1.8e-08	3.3e-08
   275	-6.38679e-14	1.8e-08	3.3e-08
   276	-1.7546e-13	1.8e-08	3.3e-08
   277	-1.52498e-13	1.8e-08	3.3e-08
   278	-3.87559e-14	1.8e-08	3.3e-08
   279	-1.63771e-13	1.8e-08	3.3e-08
