Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
   122	-2.02199e-13	1.8e-08	3.3e-08
   123	-9.74345e-14	1.8e-08	3.3e-08
   124	-8.99795e-14	1.8e-08	3.3e-08
   125	-7.89246e-14	1.8e-08	3.3e-08
   126	-7.06295e-14	1.8e-08	3.3e-08
   127	-8.65848e-14	1.8e-08	3.3e-08
   128	-9.47683e-14	1.8e-08	3.3e-08
   129	-2.03723e-13	1.8e-08	3.3e-08
   130	-8.66323e-14	1.8e-08	3.3e-08
   131	-2.12368e-13	1.8e-08	3.3e-08
   132	-9.45531e-14	1.8e-08	3.3e-08
   133	-1.84186e-13	1.8e-08	3.3e-08
   134	-1.49888e-13	1.8e-08	3.3e-08
   135	-1.5458e-13	1.8e-08	3.3e-08
   136	-1.2709e-13	1.8e-08	3.3e-08
   137	-1.4159e-13	1.8e-08	3.3e-08
   138	-1.27119e-13	1.8e-08	3.3e-08
   139	-1.42791e-13	1.8e-08	3.3e-08
   140	-7.18414e-14	1.8e-08	3.3e-08
   141	-2.0823e-13	1.8e-08	3.3e-08
   142	-1.13632e-13	1.8e-08	3.3e-08
   143	-1.16257e-13	1.8e-08	3.3e-08
   144	-1.80859e-13	1.8e-08	3.3e-08
   145	-8.62384e-14	1.8e-08	3.3e-08
   146	-1.12146e-13	1.8e-08	3.3e-08
   147	-9.01066e-14	1.8e-08	3.3e-08
   148	-1.71116e-13	1.8e-08	3.3e-08
   149	-7.11146e-14	1.8e-08	3.3e-08
   150	-8.15756e-14	1.8e-08	3.3e-08
   151	-1.68095e-13	1.8e-08	3.3e-08
   152	-1.5899e-13	1.8e-08	3.3e-08
   153	-8.63919e-14	1.8e-08	3.3e-08
   154	-1.71241e-13	1.8e-08	3.3e-08
   155	-1.10359e-13	1.8e-08	3.3e-08
   156	-8.07603e-14	1.8e-08	3.3e-08
   157	-8.82761e-14	1.8e-08	3.3e-08
   158	-1.22922e-13	1.8e-08	3.3e-08
   159	-1.13824e-13	1.8e-08	3.3e-08
   160	-1.66783e-13	1.8e-08	3.3e-08
   161	-1.93664e-13	1.8e-08	3.3e-08
   162	-7.55331e-14	1.8e-08	3.3e-08
   163	-7.28839e-14	1.8e-08	3.3e-08
   164	-1.21751e-13	1.8e-08	3.3e-08
   165	-2.00035e-13	1.8e-08	3.3e-08
   166	-1.81148e-13	1.8e-08	3.3e-08
   167	-1.51935e-13	1.8e-08	3.3e-08
   168	-6.8791e-14	1.8e-08	3.3e-08
   169	-1.75272e-13	1.8e-08	3.3e-08
   170	-1.73833e-13	1.8e-08	3.3e-08
   171	-1.48483e-13	1.8e-08	3.3e-08
   172	-9.81616e-14	1.8e-08	3.3e-08
   173	-2.05397e-13	1.8e-08	3.3e-08
   174	-1.45928e-13	1.8e-08	3.3e-08
   175	-1.85007e-13	1.8e-08	3.3e-08
   176	-8.41789e-14	1.8e-08	3.3e-08
   177	-1.04497e-13	1.8e-08	3.3e-08
   178	-9.30883e-14	1.8e-08	3.3e-08
   179	-1.61987e-13	1.8e-08	3.3e-08
   180	-1.02189e-13	1.8e-08	3.3e-08
