Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
     1	-3.91276e-14	1.8e-08	3.3e-08
     2	-3.97902e-14	1.8e-08	3.3e-08
     3	-4.05678e-14	1.8e-08	3.3e-08
     4	-4.13499e-14	1.8e-08	3.3e-08
     5	-4.20458e-14	1.8e-08	3.3e-08
     6	-4.29651e-14	1.8e-08	3.3e-08
     7	-4.47461e-14	1.8e-08	3.3e-08
     8	-4.4261e-14	1.8e-08	3.3e-08
     9	-4.84706e-14	1.8e-08	3.3e-08
    10	-5.12101e-14	1.8e-08	3.3e-08
    11	-5.53772e-14	1.8e-08	3.3e-08
    12	-6.24584e-14	1.8e-08	3.3e-08
    13	-8.1125e-14	1.8e-08	3.3e-08
