Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
   118	3.04746e-10	2.0015e-08	2.03197e-08
   119	1.80417e-10	2.0015e-08	2.01954e-08
   120	1.67338e-10	2.0015e-08	2.01823e-08
   121	1.64193e-10	2.0015e-08	2.01792e-08
   122	1.80598e-10	2.0015e-08	2.01956e-08
   123	1.99798e-10	2.0015e-08	2.02148e-08
   124	1.63815e-10	2.0015e-08	2.01788e-08
   125	1.74754e-10	2.0015e-08	2.01898e-08
   126	1.94008e-10	2.0015e-08	2.0209e-08
   127	1.78514e-10	2.0015e-08	2.01935e-08
   128	1.82751e-10	2.0015e-08	2.01978e-08
   129	1.80299e-10	2.0015e-08	2.01953e-08
   130	1.79978e-10	2.0015e-08	2.0195e-08
   131	1.79391e-10	2.0015e-08	2.01944e-08
   132	1.59678e-10	2.0015e-08	2.01747e-08
   133	2.053e-10	2.0015e-08	2.02203e-08
   134	2.32783e-10	2.0015e-08	2.02478e-08
   135	1.67016e-10	2.0015e-08	2.0182e-08
   136	1.66397e-10	2.0015e-08	2.01814e-08
   137	1.85198e-10	2.0015e-08	2.02002e-08
   138	1.84126e-10	2.0015e-08	2.01991e-08
   139	1.64358e-10	2.0015e-08	2.01794e-08
   140	1.89911e-10	2.0015e-08	2.02049e-08
   141	1.77911e-10	2.0015e-08	2.01929e-08
   142	1.59081e-10	2.0015e-08	2.01741e-08
   143	1.62097e-10	2.0015e-08	2.01771e-08
   144	1.73939e-10	2.0015e-08	2.01889e-08
   145	1.62062e-10	2.0015e-08	2.01771e-08
   146	1.60515e-10	2.0015e-08	2.01755e-08
   147	1.66693e-10	2.0015e-08	2.01817e-08
   148	2.35516e-10	2.0015e-08	2.02505e-08
   149	2.03149e-10	2.0015e-08	2.02181e-08
   150	1.69229e-10	2.0015e-08	2.01842e-08
   151	1.97735e-10	2.0015e-08	2.02127e-08
   152	1.67032e-10	2.0015e-08	2.0182e-08
   153	2.34765e-10	2.0015e-08	2.02498e-08
   154	1.69947e-10	2.0015e-08	2.01849e-08
   155	1.58747e-10	2.0015e-08	2.01737e-08
   156	1.86307e-10	2.0015e-08	2.02013e-08
   157	1.60965e-10	2.0015e-08	2.0176e-08
   158	1.60769e-10	2.0015e-08	2.01758e-08
   159	1.59921e-10	2.0015e-08	2.01749e-08
   160	1.83655e-10	2.0015e-08	2.01987e-08
   161	1.81678e-10	2.0015e-08	2.01967e-08
   162	2.19572e-10	2.0015e-08	2.02346e-08
   163	2.06722e-10	2.0015e-08	2.02217e-08
   164	1.68633e-10	2.0015e-08	2.01836e-08
   165	1.7594e-10	2.0015e-08	2.01909e-08
   166	1.7399e-10	2.0015e-08	2.0189e-08
   167	1.73506e-10	2.0015e-08	2.01885e-08
   168	2.10481e-10	2.0015e-08	2.02255e-08
   169	1.76995e-10	2.0015e-08	2.0192e-08
   170	1.70647e-10	2.0015e-08	2.01856e-08
   171	1.77541e-10	2.0015e-08	2.01925e-08
   172	1.90823e-10	2.0015e-08	2.02058e-08
   173	1.82414e-10	2.0015e-08	2.01974e-08
   174	1.76792e-10	2.0015e-08	2.01918e-08
   175	2.12375e-10	2.0015e-08	2.02274e-08
   176	2.08664e-10	2.0015e-08	2.02237e-08
   177	1.63378e-10	2.0015e-08	2.01784e-08
   178	1.79658e-10	2.0015e-08	2.01947e-08
   179	1.69876e-10	2.0015e-08	2.01849e-08
   180	1.69699e-10	2.0015e-08	2.01847e-08
   181	1.72031e-10	2.0015e-08	2.0187e-08
   182	1.63938e-10	2.0015e-08	2.01789e-08
   183	2.33537e-10	2.0015e-08	2.02485e-08
   184	2.14628e-10	2.0015e-08	2.02296e-08
   185	1.59455e-10	2.0015e-08	2.01745e-08
   186	1.75127e-10	2.0015e-08	2.01901e-08
   187	1.63883e-10	2.0015e-08	2.01789e-08
   188	1.60123e-10	2.0015e-08	2.01751e-08
   189	1.90022e-10	2.0015e-08	2.0205e-08
   190	1.81219e-10	2.0015e-08	2.01962e-08
   191	1.71779e-10	2.0015e-08	2.01868e-08
   192	1.83746e-10	2.0015e-08	2.01987e-08
   193	1.94441e-10	2.0015e-08	2.02094e-08
   194	1.76848e-10	2.0015e-08	2.01918e-08
   195	2.68554e-10	2.0015e-08	2.02836e-08
   196	1.7503e-10	2.0015e-08	2.019e-08
   197	1.926e-10	2.0015e-08	2.02076e-08
   198	2.54949e-10	2.0015e-08	2.02699e-08
   199	2.42961e-10	2.0015e-08	2.0258e-08
   200	1.73364e-10	2.0015e-08	2.01884e-08
   201	1.8207e-10	2.0015e-08	2.01971e-08
   202	1.72377e-10	2.0015e-08	2.01874e-08
   203	1.59664e-10	2.0015e-08	2.01747e-08
   204	1.82069e-10	2.0015e-08	2.01971e-08
   205	1.84816e-10	2.0015e-08	2.01998e-08
   206	1.80786e-10	2.0015e-08	2.01958e-08
   207	1.7087e-10	2.0015e-08	2.01859e-08
   208	1.6485e-10	2.0015e-08	2.01798e-08
   209	1.73036e-10	2.0015e-08	2.0188e-08
   210	1.7572e-10	2.0015e-08	2.01907e-08
   211	1.78889e-10	2.0015e-08	2.01939e-08
   212	1.61943e-10	2.0015e-08	2.01769e-08
   213	2.24923e-10	2.0015e-08	2.02399e-08
   214	1.82165e-10	2.0015e-08	2.01972e-08
   215	2.71509e-10	2.0015e-08	2.02865e-08
   216	2.16149e-10	2.0015e-08	2.02311e-08
   217	2.49329e-10	2.0015e-08	2.02643e-08
   218	1.5926e-10	2.0015e-08	2.01743e-08
   219	1.69106e-10	2.0015e-08	2.01841e-08
   220	1.6192e-10	2.0015e-08	2.01769e-08
   221	2.17618e-10	2.0015e-08	2.02326e-08
   222	1.76228e-10	2.0015e-08	2.01912e-08
   223	1.66797e-10	2.0015e-08	2.01818e-08
   224	1.82432e-10	2.0015e-08	2.01974e-08
   225	1.81324e-10	2.0015e-08	2.01963e-08
   226	1.78313e-10	2.0015e-08	2.01933e-08
   227	2.93426e-10	2.0015e-08	2.03084e-08
   228	1.83907e-10	2.0015e-08	2.01989e-08
   229	1.68222e-10	2.0015e-08	2.01832e-08
   230	1.7673e-10	2.0015e-08	2.01917e-08
   231	1.82892e-10	2.0015e-08	2.01979e-08
   232	1.7211e-10	2.0015e-08	2.01871e-08
   233	2.24494e-10	2.0015e-08	2.02395e-08
   234	1.71381e-10	2.0015e-08	2.01864e-08
   235	1.79894e-10	2.0015e-08	2.01949e-08
   236	1.72402e-10	2.0015e-08	2.01874e-08
   237	1.91509e-10	2.0015e-08	2.02065e-08
   238	1.84448e-10	2.0015e-08	2.01994e-08
   239	1.64779e-10	2.0015e-08	2.01798e-08
   240	1.85498e-10	2.0015e-08	2.02005e-08
   241	2.40196e-10	2.0015e-08	2.02552e-08
   242	2.96523e-10	2.0015e-08	2.03115e-08
   243	1.83539e-10	2.0015e-08	2.01985e-08
   244	1.5975e-10	2.0015e-08	2.01748e-08
   245	2.49791e-10	2.0015e-08	2.02648e-08
   246	1.87031e-10	2.0015e-08	2.0202e-08
   247	1.68014e-10	2.0015e-08	2.0183e-08
   248	1.80424e-10	2.0015e-08	2.01954e-08
   249	2.72613e-10	2.0015e-08	2.02876e-08
   250	2.00876e-10	2.0015e-08	2.02159e-08
   251	2.92534e-10	2.0015e-08	2.03075e-08
   252	2.00824e-10	2.0015e-08	2.02158e-08
   253	1.83638e-10	2.0015e-08	2.01986e-08
   254	1.74786e-10	2.0015e-08	2.01898e-08
   255	1.63346e-10	2.0015e-08	2.01783e-08
   256	1.76752e-10	2.0015e-08	2.01918e-08
   257	1.68979e-10	2.0015e-08	2.0184e-08
   258	1.80917e-10	2.0015e-08	2.01959e-08
   259	1.67726e-10	2.0015e-08	2.01827e-08
   260	2.90832e-10	2.0015e-08	2.03058e-08
   261	1.76562e-10	2.0015e-08	2.01916e-08
   262	1.65232e-10	2.0015e-08	2.01802e-08
   263	2.28185e-10	2.0015e-08	2.02432e-08
   264	1.61439e-10	2.0015e-08	2.01764e-08
   265	1.71468e-10	2.0015e-08	2.01865e-08
   266	2.003e-10	2.0015e-08	2.02153e-08
   267	1.72901e-10	2.0015e-08	2.01879e-08
   268	1.82881e-10	2.0015e-08	2.01979e-08
   269	1.81517e-10	2.0015e-08	2.01965e-08
   270	2.11292e-10	2.0015e-08	2.02263e-08
   271	1.80757e-10	2.0015e-08	2.01958e-08
   272	1.99606e-10	2.0015e-08	2.02146e-08
   273	1.71059e-10	2.0015e-08	2.01861e-08
   274	2.45637e-10	2.0015e-08	2.02606e-08
   275	1.59624e-10	2.0015e-08	2.01746e-08
   276	1.79443e-10	2.0015e-08	2.01944e-08
   277	1.76123e-10	2.0015e-08	2.01911e-08
   278	2.20462e-10	2.0015e-08	2.02355e-08
   279	1.79615e-10	2.0015e-08	2.01946e-08
   280	2.80696e-10	2.0015e-08	2.02957e-08
   281	1.67614e-10	2.0015e-08	2.01826e-08
   282	1.67369e-10	2.0015e-08	2.01824e-08
   283	1.69448e-10	2.0015e-08	2.01844e-08
   284	1.6442e-10	2.0015e-08	2.01794e-08
   285	2.00548e-10	2.0015e-08	2.02155e-08
   286	1.79842e-10	2.0015e-08	2.01948e-08
   287	2.58796e-10	2.0015e-08	2.02738e-08
   288	1.75545e-10	2.0015e-08	2.01905e-08
   289	2.51423e-10	2.0015e-08	2.02664e-08
   290	1.83599e-10	2.0015e-08	2.01986e-08
   291	2.28205e-10	2.0015e-08	2.02432e-08
   292	2.13727e-10	2.0015e-08	2.02287e-08
   293	1.82766e-10	2.0015e-08	2.01978e-08
   294	1.63836e-10	2.0015e-08	2.01788e-08
   295	1.71336e-10	2.0015e-08	2.01863e-08
   296	1.65152e-10	2.0015e-08	2.01802e-08
   297	2.47705e-10	2.0015e-08	2.02627e-08
   298	1.67033e-10	2.0015e-08	2.0182e-08
   299	1.81039e-10	2.0015e-08	2.0196e-08
   300	1.60695e-10	2.0015e-08	2.01757e-08
   301	1.79734e-10	2.0015e-08	2.01947e-08
   302	1.61271e-10	2.0015e-08	2.01763e-08
   303	1.78294e-10	2.0015e-08	2.01933e-08
   304	1.88728e-10	2.0015e-08	2.02037e-08
   305	1.79848e-10	2.0015e-08	2.01948e-08
   306	1.79552e-10	2.0015e-08	2.01946e-08
   307	1.7548e-10	2.0015e-08	2.01905e-08
   308	1.83455e-10	2.0015e-08	2.01985e-08
   309	1.75964e-10	2.0015e-08	2.0191e-08
   310	1.98713e-10	2.0015e-08	2.02137e-08
   311	1.99264e-10	2.0015e-08	2.02143e-08
   312	1.73694e-10	2.0015e-08	2.01887e-08
   313	2.20951e-10	2.0015e-08	2.0236e-08
   314	1.73829e-10	2.0015e-08	2.01888e-08
   315	1.96643e-10	2.0015e-08	2.02116e-08
   316	1.65676e-10	2.0015e-08	2.01807e-08
   317	1.77381e-10	2.0015e-08	2.01924e-08
   318	1.7577e-10	2.0015e-08	2.01908e-08
   319	2.81889e-10	2.0015e-08	2.02969e-08
   320	1.61394e-10	2.0015e-08	2.01764e-08
   321	1.86229e-10	2.0015e-08	2.02012e-08
   322	1.7443e-10	2.0015e-08	2.01894e-08
   323	1.65014e-10	2.0015e-08	2.018e-08
   324	1.66839e-10	2.0015e-08	2.01818e-08
   325	2.1273e-10	2.0015e-08	2.02277e-08
   326	1.78553e-10	2.0015e-08	2.01936e-08
   327	1.67594e-10	2.0015e-08	2.01826e-08
   328	1.63276e-10	2.0015e-08	2.01783e-08
   329	1.73838e-10	2.0015e-08	2.01888e-08
   330	2.66796e-10	2.0015e-08	2.02818e-08
